captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785873946386|0|SAFE_BOOT|fixed|1346371075|8193|8193
1785873946386|0|SAFE_BOOT|rotating|1346371075|8193|8193
1785873946866|1001|p10_3_identity_terminal|fixed|1346371075|8193|8193
1785873946866|1001|p10_3_identity_terminal|rotating|1350565379|8193|8193
1785873947115|1002|p10_3_receive_only_5000ms_active|fixed|1350565379|8193|8193
1785873947115|1002|p10_3_receive_only_5000ms_active|rotating|1350565379|8193|8193
1785873952430|1002|p10_3_receive_only_5000ms_terminal|fixed|1346371075|8193|8193
1785873952430|1002|p10_3_receive_only_5000ms_terminal|rotating|1350565379|8193|8193
1785873952931|1003|p10_3_ring32_terminal|fixed|1350565379|8193|8193
1785873952931|1003|p10_3_ring32_terminal|rotating|1350565379|8193|8193
1785873953429|1004|p10_3_dma_reset_idle_terminal|fixed|1350565379|8193|8193
1785873953429|1004|p10_3_dma_reset_idle_terminal|rotating|1346371075|8193|8193
1785873953953|1005|p10_3_pl_soft_reset_terminal|fixed|1350565379|8193|8193
1785873953953|1005|p10_3_pl_soft_reset_terminal|rotating|1346371075|8193|8193
1785873954536|1006|p10_3_identity_after_reset_terminal|fixed|1350565379|8193|8193
1785873954536|1006|p10_3_identity_after_reset_terminal|rotating|1346371075|8193|8193
1785873955047|1007|P10_3F-PREFLIGHT_endpoint_shutdown_terminal|fixed|1350565379|8193|8193
1785873955047|1007|P10_3F-PREFLIGHT_endpoint_shutdown_terminal|rotating|1350565379|8193|8193
